home_team_id,away_team_id,game_id,BA_Ratio,BA_diff,Slug_diff,Slug_ratio,total_bases_diff,total_bases_ratio,extra_bases_lh_diff,extra_bases_lh_ratio,Total_Average,times_on_bases_diff,times_on_bases_ratio,on_base_diff,on_base_ratio,on_base_slug_diff,on_base_slug_ratio,at_bats_perHR_diff,at_bats_perHR_ratio,hr_h_diff,hr_h_ratio,PA_per_SO_diff,PA_per_SO_ratio,walk_SO_diff,walk_SO_ratio,SB_percent_diff,SB_percent_ratio,gpa_diff,gpa_ratio,Home_team_wins
5636,5651,176762,-0.999999473,0.0146,0.050206843,0.136840148,30,0.057581574,13,0.118181818,0.674579624,13,0.029082774,0.025345068,0.087545382,0.055833602,0.082578511,-9.119047619,-0.224765258,0.022554469,0.214589666,0.829238003,0.170113777,0.113576079,1.326403326,,,0.023956992,0.107912505,0
5648,5626,176763,-0.999999491,-0.0137,-0.054188391,-0.117494193,-96,-0.152380952,-16,-0.121212121,0.669,-35,-0.067961165,-0.011616005,-0.034103689,-0.004310984,-0.00582317,15.22641509,0.590775988,-0.047458017,-0.338474159,0.412745098,0.080666794,0.042892157,1.102941176,,,-0.0187743,-0.06990365,1
5646,5656,176764,-0.9999996,-0.0413,-0.10457306,-0.221555658,-188,-0.272069465,-45,-0.319148936,0.599622285,-74,-0.135779817,-0.02724294,-0.080079247,-0.047116546,-0.064765472,22.80689655,0.934708875,-0.056298249,-0.396902655,-0.49632107,-0.088628763,0.039061239,1.105866908,,,-0.038402588,-0.141660693,0
5614,4288,176765,-0.999999562,-0.0318,-0.032977356,-0.086811659,-50,-0.093283582,-3,-0.028301887,0.562724014,-14,-0.03030303,-0.013533443,-0.044701371,-0.046510799,-0.068135239,-0.277777778,-0.007087172,0.015664056,0.153594771,-0.682113959,-0.12643201,0.016552933,1.045087038,,,-0.014334388,-0.061998168,1
5645,3178,176766,-0.999999583,-0.0292,-0.020325259,-0.049574629,-71,-0.118530885,8,0.068376068,0.611531191,-95,-0.176908752,-0.033829979,-0.102182916,-0.040465984,-0.055632778,2.004742547,0.056259031,0.006595773,0.062901155,-0.601522448,-0.114889324,-0.110358086,0.750701878,,,-0.020304805,-0.080740903,1
5644,5642,176767,-0.999999574,-0.0239,-0.022371614,-0.048593536,-31,-0.045994065,-23,-0.136904762,0.670138889,-37,-0.069811321,-0.02161901,-0.065754423,-0.07677751,-0.093408579,-5.216346154,-0.185280055,0.045170909,0.345731192,-0.324905854,-0.065141026,-0.021534273,0.939481268,,,-0.015321458,-0.058245758,0
5646,5652,176768,-0.999999467,0.002,-0.008832976,-0.023554604,-3,-0.005813953,-13,-0.116071429,0.594843462,29,0.064732143,0.011277132,0.037733083,-0.000462821,-0.000683864,-0.748275862,-0.015770349,0.000642138,0.007417803,-0.005974255,-0.001167428,0.071063923,1.213909588,,,0.002866465,0.012559016,1
5633,5636,176770,-0.999999484,-0.0116,-0.048314092,-0.114872666,-94,-0.164335664,-27,-0.2109375,0.589920949,-48,-0.101265823,-0.013879511,-0.043981066,-0.021017132,-0.03024087,11.89090909,0.384705882,-0.031312388,-0.24267101,-0.252787953,-0.045282881,-0.028408628,0.9359045,,,-0.018324303,-0.074140122,1
5621,5647,176771,-0.999999442,0.0084,0.058623378,0.149023913,96,0.179439252,14,0.115702479,0.733521657,58,0.125541126,0.021394023,0.068396043,-0.019982599,-0.024786816,-27.48512447,-0.545660559,0.087055418,1.13172043,-0.906832082,-0.132677446,0.066409508,1.149250234,,,0.024283155,0.101559015,0
5643,5648,176772,-0.999999485,-0.0176,-0.031797295,-0.077452,-22,-0.039783002,-5,-0.042372881,0.623616236,-2,-0.004032258,-0.015086997,-0.045504329,-0.043914729,-0.059414628,2.994318182,0.073357461,-0.000231461,-0.002518017,-0.753148237,-0.136358441,-0.061167282,0.865624633,,,-0.014738472,-0.058524705,0
